rank,headword,lemma,translation,part_of_speech,declension_or_conjugation,semantic_group,form_count
234,silva -ae f.,silva,"forest, grove",Noun: 1st Declension,1st Declension,Animals/Plants,12
235,bene,bene,well,Adverb,,Personality Traits/Characteristics,0
236,fīnis -is m.,fīnis,"end, boundary",Noun: 3rd Declension,3rd Declension,Geography,12
237,gerō gerere gessī gestum,gerō,"bear, manage; bellum gerere, wage war",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,War and Peace,260
238,ne (enclitic),ne,interrogative particle attached to the emphatic word in a question,Adverb,,Pronouns/Interrogatives,0
239,dux ducis m./f.,dux,"leader, general",Noun: 3rd Declension,3rd Declension,War and Peace,12
240,premō premere pressī pressum,premō,"press, pursue, overwhelm",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,War and Peace,260
241,dominus -ī m.; domina -ae f.,dominus,"household master, lord; mistress",Noun: 2nd Declension,2nd Declension,The Household,12
242,mōns montis m.,mōns,mountain,Noun: 3rd Declension,3rd Declension,Geography,12
243,uterque utraque utrumque,uterque,each of two,Conjunction,,Measurement,0
244,saevus -a -um,saevus,"fierce, raging, wrathful",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
245,lītus -oris n.,lītus,shore,Noun: 3rd Declension,3rd Declension,Geography,12
246,soleō -ēre -uī -itum,soleō,be accustomed,Verb: 2nd Conjugation,2nd Conjugation,Personality Traits/Characteristics,195
247,mīlle (pl.) mīlia,mīlle,thousand,Adjective: Numeral,Numeral,Measurement,53
248,equus -ī m.,equus,horse,Noun: 2nd Declension,2nd Declension,Animals/Plants,12
249,dūrus -a -um,dūrus,"hard, tough, harsh",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Other Senses,84
250,cōgō cōgere coēgī coāctum,cōgō,drive together; compel,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,260
251,numquam,numquam,never,Adverb,,Time,0
252,prīmum,prīmum,"at first, firstly",Adverb,,Time,0
253,morior morī mortuus sum,morior,die,Verb: Deponent,Deponent,Life and Being,334
254,carmen -inis n.,carmen,song,Noun: 3rd Declension,3rd Declension,Writing/Poetry,12
255,tēlum -ī n.,tēlum,"missile, weapon, spear",Noun: 2nd Declension,2nd Declension,War and Peace,12
256,ratiō -ōnis f.,ratiō,"method, plan, reason",Noun: 3rd Declension,3rd Declension,Education/Knowledge,12
257,umbra -ae f.,umbra,"shade, shadow",Noun: 1st Declension,1st Declension,Vision,12
258,ars artis f.,ars,skill,Noun: 3rd Declension,3rd Declension,Education/Knowledge,12
259,tot,tot,so many,Adverb,,Measurement,0
260,dexter -tra -trum,dexter,right; dextera -ae f.: right hand,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Place,114
261,sīgnum -ī n.,sīgnum,"sign, standard, mark",Noun: 2nd Declension,2nd Declension,War and Peace,12
262,laetus -a -um,laetus,"glad, joyful",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Emotions,84
263,quālis -e,quālis,of what kind? what?,Pronoun,Pronoun,Pronouns/Interrogatives,73
264,lēx lēgis f.,lēx,law,Noun: 3rd Declension,3rd Declension,Justice,27
265,perīculum -ī n.,perīculum,danger,Noun: 2nd Declension,2nd Declension,Violence,12
266,nāscor nāscī nātus sum,nāscor,be born,Verb: Deponent,Deponent,Life and Being,228
267,exercitus -ūs m.,exercitus,army,Noun: 4th Declension,4th Declension,War and Peace,12
268,pereō -īre -iī -itum,pereō,"perish, be lost",Verb: Irregular,Irregular,Violence,196
269,ventus -ī m.,ventus,wind,Noun: 2nd Declension,2nd Declension,Air and Fire,12
270,audeō audēre ausus sum,audeō,"dare, be eager",Verb: 2nd Conjugation,2nd Conjugation,Personality Traits/Characteristics,227
271,contrā,contrā,"against, opposite (adv. and prep. +acc.)",Preposition,,Place,0
272,aqua -ae f.,aqua,water,Noun: 1st Declension,1st Declension,Earth and Water,12
273,rapiō rapere rapuī raptum,rapiō,"seize, tear away",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Violence,260
274,simul,simul,at the same time,Adverb,,Time,0
275,trīstis -e,trīstis,"sad, solemn, grim",Adjective: 3rd Declension,3rd Declension,Emotions,73
276,mūnus mūneris n.,mūnus,"gift, offering; duty, obligation; (pl.) gladiatorial show",Noun: 3rd Declension,3rd Declension,Social Life,12
277,iuvenis -is m.,iuvenis,youth,Noun: 3rd Declension,3rd Declension,People,12
278,fāma -ae f.,fāma,"rumor, fame",Noun: 1st Declension,1st Declension,Speech/Oratory,12
279,adsum adesse affuī,adsum,be present,Verb: Irregular,Irregular,Place,242
280,quisquam quicquam/quidquam,quisquam,"any (single) person, anyone at all",Pronoun,Pronoun,Pronouns/Interrogatives,23
280,vērō,vērō,"in fact, certainly, without doubt",Adverb,,Conjunctions/Adverbs,0
281,pār paris,pār,equal,Adjective: 3rd Declension,3rd Declension,Measurement,51
282,vester vestra vestrum,vester,your,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Pronouns/Interrogatives,84
283,flūmen -inis n.,flūmen,"stream, river",Noun: 3rd Declension,3rd Declension,Earth and Water,12
284,quīcumque quaecumque quodcumque,quīcumque,"who-, whatever",Pronoun,Pronoun,Pronouns/Interrogatives,23
285,certus -a -um,certus,"sure, fixed",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,84
286,fortis -e,fortis,brave,Adjective: 3rd Declension,3rd Declension,Personality Traits/Characteristics,73
287,placeō placēre placuī placitum,placeō,please,Verb: 2nd Conjugation,2nd Conjugation,Social Life,227
288,vertō vertere vertī versum,vertō,turn,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,260
289,servō -āre,servō,"save, watch over",Verb: 1st Conjugation,1st Conjugation,The Household,277
290,honor -ōris m.,honor,"honor, glory; office, post",Noun: 3rd Declension,3rd Declension,The City,12
291,dīgnus -a -um,dīgnus,worthy,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
292,cūnctus -a -um,cūnctus,entire all together,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,84
293,tollō tollere sustulī sublātum,tollō,"raise up, destroy",Verb: Irregular,Irregular,Violence,260
294,negō -āre,negō,"deny, refuse",Verb: 1st Conjugation,1st Conjugation,Speech/Oratory,277
295,vetus veteris,vetus,old,Adjective: 3rd Declension,3rd Declension,Time,71
296,eques equitis m.,eques,"horseman, knight",Noun: 3rd Declension,3rd Declension,War and Peace,12
297,trādō -dere -didī -ditum,trādō,"hand over, yield",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Business/Money,260
298,flamma -ae f.,flamma,"flame, fire",Noun: 1st Declension,1st Declension,Air and Fire,12
299,lūx lūcis f.,lūx,light of day,Noun: 3rd Declension,3rd Declension,Air and Fire,12
300,unde,unde,from where,Adverb,,Place,0
301,redeō -īre -iī -itum,redeō,"go back, return",Verb: Irregular,Irregular,Motion,196
302,sentiō sentīre sēnsī sēnsum,sentiō,"perceive, feel, hear, see",Verb: 4th Conjugation,4th Conjugation,Other Senses,277
303,aurum -ī n.,aurum,gold,Noun: 2nd Declension,2nd Declension,Business/Money,12
304,cēdō cēdere cessī cessum,cēdō,"go, move; yield",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,War and Peace,262
305,quō,quō,"for which reason; to or in what place; to what end, for what purpose?",Adverb,,Pronouns/Interrogatives,0
306,saxum -ī n.,saxum,"rock, cliff, crag",Noun: 2nd Declension,2nd Declension,Earth and Water,12
307,ve,ve,or (postpositive enclitic),Conjunction,,Conjunctions/Adverbs,0
308,aetās -tātis f.,aetās,"age, time of life",Noun: 3rd Declension,3rd Declension,Lengths of Time,12
309,fēlīx -īcis,fēlīx,lucky,Adjective: 3rd Declension,3rd Declension,Personality Traits/Characteristics,71
310,loquor loquī locūtus sum,loquor,"speak, talk",Verb: Deponent,Deponent,Speech/Oratory,228
311,quantus -a -um,quantus,"(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quantī, at what price? (rel.) at which price",Pronoun,Pronoun,Pronouns/Interrogatives,84
312,coepī coepisse coeptus,coepī,begin,Verb: Irregular,,Time,0
313,igitur,igitur,therefore,Conjunction,,Conjunctions/Adverbs,0
314,iūs iūris n.,iūs,"right, justice, law",Noun: 3rd Declension,3rd Declension,Justice,12
315,mūtō -āre,mūtō,change,Verb: 1st Conjugation,1st Conjugation,Making/Doing,227
316,inveniō -venīre -vēnī -ventum,inveniō,find; discover,Verb: 4th Conjugation,4th Conjugation,Travel,277
317,prīnceps -cipis,prīnceps,"first, chief; (as subst.) leader, person in charge",Adjective: 3rd Declension,3rd Declension,The City,71
318,ops opis f.,ops,"assistance, resources",Noun: 3rd Declension,3rd Declension,Business/Money,12
319,recipiō -cipere -cēpī -ceptum,recipiō,"take back, receive; sē recipere, betake oneself, go",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Verbs of Transport,260
320,sōl sōlis m.,sōl,sun,Noun: 3rd Declension,3rd Declension,Air and Fire,12
321,cōnsul -ulis m.,cōnsul,consul,Noun: 3rd Declension,3rd Declension,The City,12
322,orbis -is m.,orbis,circle; orbis terrārum: world,Noun: 3rd Declension,3rd Declension,Geography,12
323,turba -ae f.,turba,"crowd, uproar",Noun: 1st Declension,1st Declension,The City,12
324,ager agrī m.,ager,field,Noun: 2nd Declension,2nd Declension,Animals/Plants,14
325,solvō solvere solvī solūtum,solvō,"release, set sail",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Travel,260
326,vitium -ī n.,vitium,"flaw, fault, crime",Noun: 2nd Declension,2nd Declension,Justice,11
327,vulnus -eris n.,vulnus,wound,Noun: 3rd Declension,3rd Declension,Violence,12
328,inde,inde,"from there, from then",Adverb,,Place,0
329,senātus -ūs m.,senātus,senate,Noun: 4th Declension,4th Declension,The City,12
330,ūtor ūtī ūsus sum,ūtor,"use, consume, employ (+ abl.)",Verb: Deponent,Deponent,Making/Doing,228
331,cōpia -ae f.,cōpia,abundance; (pl.) troops,Noun: 1st Declension,1st Declension,War and Peace,12
332,opus operis n.,opus,work,Noun: 3rd Declension,3rd Declension,Business/Money,12
333,colō colere coluī cultum,colō,"inhabit, cultivate",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Animals/Plants,485
334,vōtum -ī n.,vōtum,"solemn promise, vow; hope",Noun: 2nd Declension,2nd Declension,Religion,12
335,iugum -ī n.,iugum,"yoke; ridge, chain of hills",Noun: 2nd Declension,2nd Declension,Animals/Plants,12
336,quā,quā,"where, how",Pronoun,Pronoun,Pronouns/Interrogatives,2
337,tellus tellūris f.,tellus,earth,Noun: 3rd Declension,3rd Declension,Earth and Water,12
338,numerus -ī m.,numerus,"number, amount",Noun: 2nd Declension,2nd Declension,Measurement,12
339,cōgnōscō -gnōscere -gnōvī -gnitum,cōgnōscō,"learn, understand",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Education/Knowledge,260
340,victor -ōris m.,victor,conqueror,Noun: 3rd Declension,3rd Declension,War and Peace,12
341,"satis, sat","satis,","enough, sufficient, sufficiently",Adverb,,Measurement,0
342,patria -ae f.,patria,"fatherland, country",Noun: 1st Declension,1st Declension,Geography,12
343,seu,seu,whether; seu ... seu: whether ... or → sīve,Conjunction,,Conjunctions/Adverbs,0
344,cāsus -ūs m.,cāsus,"a fall; chance, accident",Noun: 4th Declension,4th Declension,Violence,12
345,frangō frangere frēgī frāctum,frangō,"break, shatter",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Violence,260
346,cīvitās -ātis f.,cīvitās,"citizenship, state",Noun: 3rd Declension,3rd Declension,The City,12
347,nōscō nōscere nōvī nōtum,nōscō,"learn, know",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Education/Knowledge,260
348,proelium -ī n.,proelium,battle,Noun: 2nd Declension,2nd Declension,War and Peace,11
349,ēripiō -ripere -ripuī -reptum,ēripiō,"snatch away, rescue, save",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Verbs of Transport,260
350,mundus -ī m.,mundus,"world, universe, heavens",Noun: 2nd Declension,2nd Declension,Earth and Water,12
351,cursus -ūs m.,cursus,"course, advance",Noun: 4th Declension,4th Declension,Athletics,12
352,vix,vix,scarcely,Adverb,,Conjunctions/Adverbs,0
353,nāvis -is f.,nāvis,ship,Noun: 3rd Declension,3rd Declension,Travel,12
354,lacrima -ae f.,lacrima,tear,Noun: 1st Declension,1st Declension,Emotions,12
355,hūmānus -a -um,hūmānus,human,Adjective: 1st and 2nd Declension,1st and 2nd Declension,People,84
356,mollis -e,mollis,"soft, yielding, gentle",Adjective: 3rd Declension,3rd Declension,Other Senses,73
357,maneō manēre mānsī mānsum,maneō,remain,Verb: 2nd Conjugation,2nd Conjugation,Travel,325
358,āgmen -minis n.,āgmen,line of march,Noun: 3rd Declension,3rd Declension,War and Peace,12
359,sīdus -eris n.,sīdus,"star, constellation",Noun: 3rd Declension,3rd Declension,Air and Fire,12
360,glōria -ae f.,glōria,"glory, fame",Noun: 1st Declension,1st Declension,Social Life,12
361,diū:,diū:,for a long time,Adverb,,Time,0
362,sīve,sīve,whether; sīve ... sīve: whether ... or → seu,Conjunction,,Conjunctions/Adverbs,0
