rank,headword,lemma,translation,part_of_speech,declension_or_conjugation,semantic_group,form_count
884,vereor verērī veritus sum,vereor,"fear, stand in awe of",Verb: Deponent,Deponent,Emotions,195
885,ingredior -gredī -gressus sum:,ingredior,"step in, enter",Verb: Deponent,Deponent,Motion,228
886,addūcō -ere -dūxī -ductum,addūcō,"lead to, induce",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,260
887,hortor hortārī hortātus sum,hortor,"urge strongly, advise, exhort",Verb: Deponent,Deponent,Speech/Oratory,195
888,reus -ī m.,reus,defendant,Noun: 2nd Declension,2nd Declension,Justice,12
889,scīlicet,scīlicet,"certainly, of course",Adverb,,Conjunctions/Adverbs,0
890,comparō -āre,comparō,"get ready, provide; compare",Verb: 1st Conjugation,1st Conjugation,Business/Money,227
891,perpetuus -a -um,perpetuus,"unbroken, perpetual",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Lengths of Time,84
892,dēsīderō -āre,dēsīderō,"long for, desire greatly",Verb: 1st Conjugation,1st Conjugation,Love,227
893,celebrō -āre,celebrō,"frequent, throng, crowd",Verb: 1st Conjugation,1st Conjugation,The City,227
894,cōnficiō -ficere -fēcī -fectum,cōnficiō,"complete, accomplish; destroy, kill, consume",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Violence,310
895,intendō -tendere -tendī -tentum:,intendō,"stretch out, strain",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,260
896,iūrō -āre,iūrō,"take an oath, swear; iūs iūrandum, oath",Verb: 1st Conjugation,1st Conjugation,Justice,227
897,sōlum,sōlum,"only, merely",Adverb,,Measurement,0
898,auctōritās -ātis f.,auctōritās,"influence, clout, authority",Noun: 3rd Declension,3rd Declension,Social Life,12
899,iaciō iacere iēcī iactum,iaciō,"throw, hurl",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Athletics,260
900,labōrō -āre,labōrō,"toil, work; be in trouble or distress",Verb: 1st Conjugation,1st Conjugation,Business/Money,227
901,liber librī m.,liber,book,Noun: 2nd Declension,2nd Declension,Writing/Poetry,22
902,lūna -ae f.,lūna,moon,Noun: 1st Declension,1st Declension,Air and Fire,12
903,prōtinus,prōtinus,"at once, forthwith",Adverb,,Time,0
904,aequē,aequē,equally,Adverb,,Justice,0
905,cōnor cōnārī cōnātus sum,cōnor,"try, attempt",Verb: Deponent,Deponent,Making/Doing,195
906,cupīdō -inis f.,cupīdō,"desire, eagerness, craving",Noun: 3rd Declension,3rd Declension,Love,24
907,ferē,ferē,almost,Adverb,,Conjunctions/Adverbs,0
908,īnsula -ae f.:,īnsula,island,Noun: 1st Declension,1st Declension,Geography,12
909,fīlia -ae f.; fīlius -ī m.,fīlia,daughter; son,Noun: 1st Declension,1st Declension,The Household,12
910,narrō -āre,narrō,"relate, recount",Verb: 1st Conjugation,1st Conjugation,Speech/Oratory,227
911,necessitās -tātis f.,necessitās,"necessity, need",Noun: 3rd Declension,3rd Declension,Business/Money,12
912,ēgredior ēgredī ēgressus sum,ēgredior,"stride out, depart, disembark from (+ abl.)",Verb: Deponent,Deponent,Travel,228
913,poēta -ae m.,poēta,poet,Noun: 1st Declension,1st Declension,Writing/Poetry,12
914,decem,decem,ten,Adjective: Numeral,Numeral,Measurement,53
915,amplus -a -um,amplus,"large, spacious",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,84
916,aptus -a -um,aptus,"fit, suitable",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
917,cōnsequor -sequī -secūtus sum,cōnsequor,"follow up, overtake, attain",Verb: Deponent,Deponent,Motion,228
918,frequēns -ntis,frequēns,"in large numbers, often",Adjective: 3rd Declension,3rd Declension,Measurement,71
919,nūntius -ī m.,nūntius,messenger; news,Noun: 2nd Declension,2nd Declension,Travel,11
920,condīciō -ōnis f.,condīciō,"agreement, condition",Noun: 3rd Declension,3rd Declension,Business/Money,12
921,convīvium -iī n.,convīvium,"banquet, feast",Noun: 2nd Declension,2nd Declension,Social Life,11
922,foedus -a -um,foedus,foul,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Other Senses,84
923,fruor fruī frūctus sum,fruor,"enjoy the produce of, profit by, use (+ abl.)",Verb: Deponent,Deponent,Emotions,421
924,num,num,interrogative particle implying negative answer,Adverb,,Pronouns/Interrogatives,0
925,albus -a -um,albus,white,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Vision,84
926,damnum -ī n.,damnum,"damage, injury",Noun: 2nd Declension,2nd Declension,Violence,12
927,frūctus -ūs m.,frūctus,"fruit, crops; enjoyment, delight",Noun: 4th Declension,4th Declension,Animals/Plants,12
928,cēnseō cēnsēre cēnsuī cēnsum,cēnseō,"assess, rate; think, decide",Verb: 2nd Conjugation,2nd Conjugation,Education/Knowledge,293
929,prōdō prōdere prōdidī prōditum,prōdō,"publish, hand down; give over, betray",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Transport,260
930,prōpōnō -pōnere -posuī -positum,prōpōnō,"put forth, propose, present",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Speech/Oratory,260
931,īnstituō -stituere -stituī -stitūtum:,īnstituō,undertake; equip,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Making/Doing,260
932,item,item,likewise,Adverb,,Conjunctions/Adverbs,0
933,magister magistrī m.,magister,"master, chief",Noun: 2nd Declension,2nd Declension,Education/Knowledge,12
934,stella -ae f.,stella,star,Noun: 1st Declension,1st Declension,Air and Fire,12
935,ēdūcō -dūcere -dūxī -ductum,ēdūcō,lead forth,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,485
936,frūmentum -ī n.,frūmentum,grain,Noun: 2nd Declension,2nd Declension,Animals/Plants,12
937,suscipiō -cipere -cēpī ceptum,suscipiō,take up,Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Verbs of Transport,260
938,quasi,quasi,as if,Adverb,,Conjunctions/Adverbs,0
939,sacerdōs -dōtis m./f.,sacerdōs,"priest, priestess",Noun: 3rd Declension,3rd Declension,Religion,12
940,vīcīnus -a -um,vīcīnus,"neighboring, near",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Geography,84
941,caveō cavēre cāvī cautum,caveō,"be on guard, beware",Verb: 2nd Conjugation,2nd Conjugation,Violence,227
942,ēligō ēligere ēlēgī ēlēctum,ēligō,"pick out, select",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,The City,260
943,familia -ae f.,familia,"household, family",Noun: 1st Declension,1st Declension,The Household,12
944,paene,paene,almost,Adverb,,Conjunctions/Adverbs,0
945,praecipiō -cipere -cēpī -ceptum,praecipiō,"anticipate, advise, warn",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Speech/Oratory,260
946,sānus -a -um,sānus,"sound, sane",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Life and Being,84
947,potis -e,potis,"powerful, able",Adjective: 3rd Declension,3rd Declension,Personality Traits/Characteristics,53
948,prīncipium -ī n.,prīncipium,beginning,Noun: 2nd Declension,2nd Declension,Time,11
949,sepulcrum -ī n.,sepulcrum,"place of burial, tomb, grave",Noun: 2nd Declension,2nd Declension,Life and Being,12
950,mortālis -e,mortālis,"liable to death, mortal; (as subst.) a mortal",Adjective: 3rd Declension,3rd Declension,Life and Being,73
951,epistula -ae f.,epistula,letter,Noun: 1st Declension,1st Declension,Writing/Poetry,12
952,inimīcus -a -um:,inimīcus,unfriendly; (as subst.) enemy,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
953,interrogō -āre,interrogō,"put a question to, ask (+ acc.)",Verb: 1st Conjugation,1st Conjugation,Speech/Oratory,227
954,cōnsuētūdo -inis f.,cōnsuētūdo,"custom, habit",Noun: 3rd Declension,3rd Declension,Personality Traits/Characteristics,12
955,illūc,illūc,to that place,Adverb,,Place,0
956,dīgnitās -ātis f.,dīgnitās,"worth, reputation, honor",Noun: 3rd Declension,3rd Declension,Personality Traits/Characteristics,12
957,fugō -āre,fugō,put to flight,Verb: 1st Conjugation,1st Conjugation,Travel,227
958,afficiō -ficere -fēcī -fectum,afficiō,"affect, visit with (+ abl.)",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Social Life,260
959,adhibeō -hibēre -hibuī -hibitum,adhibeō,apply,Verb: 2nd Conjugation,2nd Conjugation,Making/Doing,227
960,caelestis -e,caelestis,"from or of heaven; caelestēs, the gods",Adjective: 3rd Declension,3rd Declension,Air and Fire,73
961,mulier -eris f.,mulier,woman,Noun: 3rd Declension,3rd Declension,People,12
962,dīvus -a -um,dīvus,"divine, godlike; (as subst.) a god",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Religion,64
963,arbitror arbitrārī arbitrātus sum,arbitror,"consider, think",Verb: Deponent,Deponent,Education/Knowledge,195
964,posteā,posteā,afterwards,Adverb,,Time,0
965,aedēs -is f.,aedēs,building; (pl.) house,Noun: 3rd Declension,3rd Declension,The House,14
966,fābula -ae f.,fābula,"account, tale, story",Noun: 1st Declension,1st Declension,Writing/Poetry,12
967,celeriter,celeriter,quickly,Adverb,,Time,0
968,plērus- plēra- plērumque,plērus-,"the greater part, very many, most, the majority",Adjective: 1st and 2nd Declension,,Measurement,0
969,quiēscō quiēscere quiēvī quiētum,quiēscō,keep quiet; sleep,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Life and Being,260
970,quotiēns,quotiēns,"interr. how many times? how often? rel. as often as, whenever",Adverb,,Pronouns/Interrogatives,0
971,scientia -ae f.,scientia,knowledge,Noun: 1st Declension,1st Declension,Education/Knowledge,12
972,cōnfiteor cōnfitērī cōnfessus sum,cōnfiteor,"admit (a fact), confess (a crime); reveal, disclose",Verb: Deponent,Deponent,Justice,195
973,dīligō -ligere -lēxī -lēctum,dīligō,"choose, cherish, love",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Love,485
974,plērumque,plērumque,generally,Adverb,,Measurement,0
975,dormiō -īre,dormiō,sleep,Verb: 4th Conjugation,4th Conjugation,Life and Being,277
976,volucris -is f./m.,volucris,bird,Noun: 3rd Declension,3rd Declension,Animals/Plants,12
977,volucer -cris -cre,volucer,flying,Adjective: 3rd Declension,3rd Declension,Animals/Plants,96
978,creō -āre,creō,"produce, create; elect, choose",Verb: 1st Conjugation,1st Conjugation,Making/Doing,227
979,fidēlis -e,fidēlis,faithful,Adjective: 3rd Declension,3rd Declension,Personality Traits/Characteristics,73
980,indicō -āre,indicō,"point out, show, make known",Verb: 1st Conjugation,1st Conjugation,Speech/Oratory,485
981,hodiē,hodiē,today,Adverb,,Lengths of Time,0
982,disciplīna -ae f.,disciplīna,"training, instruction; learning, discipline",Noun: 1st Declension,1st Declension,Education/Knowledge,12
983,vērē,vērē,truly,Adverb,,Speech/Oratory,0
984,aegrē,aegrē,with difficulty,Adverb,,Life and Being,0
985,fore,fore,,Verb: Irregular,,Life and Being,0
986,advertō -vertere -vertī -versum,advertō,turn towards,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,260
987,adveniō -īre -vēnī -ventum,adveniō,"come to, arrive at",Verb: 4th Conjugation,4th Conjugation,Travel,277
988,pendō pendere pependī pēnsum,pendō,"weigh, hang, suspend; pay",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Business/Money,260
989,studeō -ēre -uī,studeō,"be eager, be zealous, care for (+ dat.)",Verb: 2nd Conjugation,2nd Conjugation,Emotions,161
990,ascendō -ere -scendī -scēnsum,ascendō,"climb up, ascend",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Travel,260
991,vulgō,vulgō,commonly,Adverb,,The City,0
992,breviter,breviter,briefly,Adverb,,Measurement,0
993,fors fortis f.,fors,chance,Noun: 3rd Declension,3rd Declension,Religion,12
994,fēlīciter,fēlīciter,luckily,Adverb,,Personality Traits/Characteristics,0
995,revertō -vertere -vertī,revertō,turn back,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,194
996,ēdīcō -dīcere -dīxī -dictum,ēdīcō,declare,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Speech/Oratory,260
997,mundus -a -um,mundus,"clean, neat, elegant",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
